affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
146132542;quality assurance review center;Quality Assurance Review Center;quality assurance review center;;;
151688812;shohoku college;Shohoku College;shohoku college;;;
166459259;shiraz university;Shiraz University;shiraz university;Shiraz University;Iran;
167242333;escola superior de propaganda e marketing;Escola Superior de Propaganda e Marketing;escola superior de propaganda e marketing;;;
170429926;european science foundation;European Science Foundation;european science foundation;;;
170935008;pontificia universidade catolica de minas gerais;Pontifícia Universidade Católica de Minas Gerais;pontificia universidade catolica de minas gerais;;;
171481255;shibaura institute of technology;Shibaura Institute of Technology;shibaura institute of technology;;;
174563069;agra college;Agra College;agra college;;;
176645703;st columba s college dublin;St Columba's College, Dublin;st columba's college, dublin;;;
176922709;molloy college;Molloy College;molloy college;;;
177909021;federal university of sao carlos;Federal University of São Carlos;federal university of sao carlos;Federal University of São Carlos;Brazil;
178846432;shorter university;Shorter University;shorter university;;;
179060312;northeast dianli university;Northeast Dianli University;northeast dianli university;;;
181029031;queen s school of religion;Queen's School of Religion;queen's school of religion;;;
183816158;zhaoqing university;Zhaoqing University;zhaoqing university;;;
184851948;national aerospace laboratory;National Aerospace Laboratory;national aerospace laboratory;;;
186087557;paul verlaine university metz;Paul Verlaine University – Metz;paul verlaine university - metz;;;
187342831;sharon regional health system;Sharon Regional Health System;sharon regional health system;;;
189909677;pakistan institute of development economics;Pakistan Institute of Development Economics;pakistan institute of development economics;;;
196899693;reynolds group holdings;Reynolds Group Holdings;reynolds group holdings;;;
197081775;annamalai university;Annamalai University;annamalai university;Annamalai University;India;
197220011;qazvin islamic azad university;Qazvin Islamic Azad University;qazvin islamic azad university;;;
197274945;nagoya institute of technology;Nagoya Institute of Technology;nagoya institute of technology;Nagoya Institute of Technology;Japan;
197380109;ryazan state university;Ryazan State University;ryazan state university;;;
198719320;basf plant science;BASF Plant Science;basf plant science;;;
200166805;guy s and st thomas nhs foundation trust;Guy's and St Thomas' NHS Foundation Trust;guy's and st thomas' nhs foundation trust;;;
206376967;wolverhampton city primary care trust;Wolverhampton City Primary Care Trust;wolverhampton city primary care trust;;;
209809654;benecke kaliko;Benecke-Kaliko;benecke-kaliko;;;
219812850;university of rizal system;University of Rizal System;university of rizal system;;;
267945406;hokkaido automotive engineering college;Hokkaido Automotive Engineering College;hokkaido automotive engineering college;;;
291386647;belarusian state university;Belarusian State University;belarusian state university;;;
695903724;electromagnetic geoservices;Electromagnetic Geoservices;electromagnetic geoservices;;;
862075557;ion geophysical;ION Geophysical;ion geophysical;;;
864254930;population matters;Population Matters;population matters;;;
880809005;university of jamestown;University of Jamestown;university of jamestown;;;
902479508;nangate;NanGate;nangate;;;
1284457272;autism research institute;Autism Research Institute;autism research institute;;;
1291711160;north east wales nhs trust;North East Wales NHS Trust;north east wales nhs trust;;;
1294606314;beijing tongren hospital;Beijing Tongren Hospital;beijing tongren hospital;;;
1305577998;federal ministry of finance germany;Federal Ministry of Finance (Germany);federal ministry of finance (germany);;;
1319070001;ecole superieure de commerce de la rochelle;École supérieure de commerce de La Rochelle;ecole superieure de commerce de la rochelle;;;
1320320070;food and drug administration;Food and Drug Administration;food and drug administration;;;
1320701149;chrysler group llc;Chrysler Group LLC;chrysler group llc;;;
1320745970;food and agriculture organization;Food and Agriculture Organization;food and agriculture organization;;;
1325529123;police executive research forum;Police Executive Research Forum;police executive research forum;;;
1331278255;universidade de ribeirao preto;Universidade de Ribeirão Preto;universidade de ribeirao preto;;;
1340219980;ministry of energy;Ministry of Energy;ministry of energy;;;
2799555087;magrabi hospitals and centers;Magrabi Hospitals and Centers;magrabi hospitals and centers;;;
2799736980;carnegie corporation of new york;Carnegie Corporation of New York;carnegie corporation of new york;;;
2799768364;rehabilitation engineering and assistive technology society of north america;Rehabilitation Engineering and Assistive Technology Society of North America;rehabilitation engineering and assistive technology society of north america;;;
2800247629;aegis technologies united states;AEgis Technologies (United States);aegis technologies (united states);;;
2800341562;kushiro junior college;Kushiro Junior College;kushiro junior college;;;
2800369400;swedish polar research secretariat;Swedish Polar Research Secretariat;swedish polar research secretariat;;;
2800676549;archimedes foundation;Archimedes Foundation;archimedes foundation;;;
2800717031;academy of fine arts of bari;Academy of Fine Arts of Bari;academy of fine arts of bari;;;
2800781293;american association of physical anthropologists;American Association of Physical Anthropologists;american association of physical anthropologists;;;
2800849769;stockholm school of entrepreneurship;Stockholm School of Entrepreneurship;stockholm school of entrepreneurship;;;
2801000415;palms of pasadena hospital;Palms of Pasadena Hospital;palms of pasadena hospital;;;
2801503924;milton keynes council;Milton Keynes Council;milton keynes council;;;
2801694295;virginia cooperative extension;Virginia Cooperative Extension;virginia cooperative extension;;;
2802558902;temuco catholic university;Temuco Catholic University;temuco catholic university;;;
2802629350;richard bland college;Richard Bland College;richard bland college;;;
2802639098;hospital pedro de elizalde;Hospital Pedro de Elizalde;hospital pedro de elizalde;;;
2802728090;rubaga hospital;Rubaga Hospital;rubaga hospital;;;
2802907415;roosevelt institute;Roosevelt Institute;roosevelt institute;;;
2588544;amersham plc;Amersham plc;amersham plc;;;
